MATCH_ID,COMPETITION,SEASON,PHASE,MATCH_DATE,HOME_TEAM,AWAY_TEAM,HOME_GOALS,AWAY_GOALS
UEL_2025_2026_UNKNOWN_428730AE,UEL,2025/2026,UNKNOWN,2026-01-29,Aston Villa,Salzburg,3,2
UEL_2025_2026_UNKNOWN_3984AD3D,UEL,2025/2026,UNKNOWN,2026-01-29,Basel,Plzen,0,1
UEL_2025_2026_UNKNOWN_EAA11101,UEL,2025/2026,UNKNOWN,2026-01-29,Betis,Feyenoord,2,1
UEL_2025_2026_UNKNOWN_6C46D2A2,UEL,2025/2026,UNKNOWN,2026-01-29,Celtic,Utrecht,4,2
UEL_2025_2026_UNKNOWN_AA330EC3,UEL,2025/2026,UNKNOWN,2026-01-29,Crvena zvezda,Celta Vigo,1,1
UEL_2025_2026_UNKNOWN_FC88CB98,UEL,2025/2026,UNKNOWN,2026-01-29,FC Porto,Rangers,3,1
UEL_2025_2026_UNKNOWN_C9B7EE6D,UEL,2025/2026,UNKNOWN,2026-01-29,FCSB,Fenerbahce,1,1
UEL_2025_2026_UNKNOWN_C3BB4F2D,UEL,2025/2026,UNKNOWN,2026-01-29,G.A. Eagles,Braga,0,0
UEL_2025_2026_UNKNOWN_8447E8DD,UEL,2025/2026,UNKNOWN,2026-01-29,Genk,Malmo FF,2,1
UEL_2025_2026_UNKNOWN_6B939767,UEL,2025/2026,UNKNOWN,2026-01-29,Lille,Freiburg,1,0
UEL_2025_2026_UNKNOWN_901182D0,UEL,2025/2026,UNKNOWN,2026-01-29,Ludogorets,Nice,1,0
UEL_2025_2026_UNKNOWN_4201B224,UEL,2025/2026,UNKNOWN,2026-01-29,Lyon,PAOK,4,2
UEL_2025_2026_UNKNOWN_55DADF69,UEL,2025/2026,UNKNOWN,2026-01-29,Maccabi Tel Aviv,Bologna,0,3
UEL_2025_2026_UNKNOWN_03D45CD2,UEL,2025/2026,UNKNOWN,2026-01-29,Midtjylland,Din. Zagreb,2,0
UEL_2025_2026_UNKNOWN_704FFFCD,UEL,2025/2026,UNKNOWN,2026-01-29,Nottingham,Ferencvaros,4,0
UEL_2025_2026_UNKNOWN_F360F30B,UEL,2025/2026,UNKNOWN,2026-01-29,Panathinaikos,AS Roma,1,1
UEL_2025_2026_UNKNOWN_4CC26871,UEL,2025/2026,UNKNOWN,2026-01-29,Sturm Graz,Brann,1,0
UEL_2025_2026_UNKNOWN_74743D9C,UEL,2025/2026,UNKNOWN,2026-01-29,Stuttgart,Young Boys,3,2
UEL_2025_2026_LEAGUE_PHASE_2041E7AE,UEL,2025/2026,LEAGUE_PHASE,2026-01-22,AS Roma,Stuttgart,2,0
UEL_2025_2026_LEAGUE_PHASE_30A40068,UEL,2025/2026,LEAGUE_PHASE,2026-01-22,Braga,Nottingham,1,0
UEL_2025_2026_LEAGUE_PHASE_63AEE118,UEL,2025/2026,LEAGUE_PHASE,2026-01-22,Celta Vigo,Lille,2,1
UEL_2025_2026_LEAGUE_PHASE_69AED775,UEL,2025/2026,LEAGUE_PHASE,2026-01-22,Din. Zagreb,FCSB,4,1
UEL_2025_2026_LEAGUE_PHASE_4A2A28A9,UEL,2025/2026,LEAGUE_PHASE,2026-01-22,Ferencvaros,Panathinaikos,1,1
UEL_2025_2026_LEAGUE_PHASE_84ED15B7,UEL,2025/2026,LEAGUE_PHASE,2026-01-22,Nice,G.A. Eagles,3,1
UEL_2025_2026_LEAGUE_PHASE_5C465437,UEL,2025/2026,LEAGUE_PHASE,2026-01-22,Rangers,Ludogorets,1,0
UEL_2025_2026_LEAGUE_PHASE_65B0843B,UEL,2025/2026,LEAGUE_PHASE,2026-01-22,Salzburg,Basel,3,1
UEL_2025_2026_LEAGUE_PHASE_29CCC359,UEL,2025/2026,LEAGUE_PHASE,2026-01-22,Utrecht,Genk,0,2
UEL_2025_2026_LEAGUE_PHASE_13F70089,UEL,2025/2026,LEAGUE_PHASE,2026-01-22,Bologna,Celtic,2,2
UEL_2025_2026_LEAGUE_PHASE_CAEB7A47,UEL,2025/2026,LEAGUE_PHASE,2026-01-22,Brann,Midtjylland,3,3
UEL_2025_2026_LEAGUE_PHASE_07FB1DA6,UEL,2025/2026,LEAGUE_PHASE,2026-01-22,Fenerbahce,Aston Villa,0,1
UEL_2025_2026_LEAGUE_PHASE_90084CB6,UEL,2025/2026,LEAGUE_PHASE,2026-01-22,Feyenoord,Sturm Graz,3,0
UEL_2025_2026_LEAGUE_PHASE_B0183EA5,UEL,2025/2026,LEAGUE_PHASE,2026-01-22,Freiburg,Maccabi Tel Aviv,1,0
UEL_2025_2026_LEAGUE_PHASE_17CE1A09,UEL,2025/2026,LEAGUE_PHASE,2026-01-22,Malmo FF,Crvena zvezda,0,1
UEL_2025_2026_LEAGUE_PHASE_73FB974C,UEL,2025/2026,LEAGUE_PHASE,2026-01-22,PAOK,Betis,2,0
UEL_2025_2026_LEAGUE_PHASE_0687C0BD,UEL,2025/2026,LEAGUE_PHASE,2026-01-22,Plzen,FC Porto,1,1
UEL_2025_2026_LEAGUE_PHASE_8D7E6FCF,UEL,2025/2026,LEAGUE_PHASE,2026-01-22,Young Boys,Lyon,0,1
UEL_2025_2026_LEAGUE_PHASE_CFFC318D,UEL,2025/2026,LEAGUE_PHASE,2025-12-11,Basel,Aston Villa,1,2
UEL_2025_2026_LEAGUE_PHASE_19939ADE,UEL,2025/2026,LEAGUE_PHASE,2025-12-11,Brann,Fenerbahce,0,4
UEL_2025_2026_LEAGUE_PHASE_E24478B5,UEL,2025/2026,LEAGUE_PHASE,2025-12-11,Celta Vigo,Bologna,1,2
UEL_2025_2026_LEAGUE_PHASE_A9400245,UEL,2025/2026,LEAGUE_PHASE,2025-12-11,Celtic,AS Roma,0,3
UEL_2025_2026_LEAGUE_PHASE_CAC781E7,UEL,2025/2026,LEAGUE_PHASE,2025-12-11,FC Porto,Malmo FF,2,1
UEL_2025_2026_LEAGUE_PHASE_F34053EC,UEL,2025/2026,LEAGUE_PHASE,2025-12-11,FCSB,Feyenoord,4,3
UEL_2025_2026_LEAGUE_PHASE_83FE1C53,UEL,2025/2026,LEAGUE_PHASE,2025-12-11,Freiburg,Salzburg,1,0
UEL_2025_2026_LEAGUE_PHASE_52DEE450,UEL,2025/2026,LEAGUE_PHASE,2025-12-11,Lyon,G.A. Eagles,2,1
UEL_2025_2026_LEAGUE_PHASE_DBBA865B,UEL,2025/2026,LEAGUE_PHASE,2025-12-11,Panathinaikos,Plzen,0,0
UEL_2025_2026_LEAGUE_PHASE_DC99077C,UEL,2025/2026,LEAGUE_PHASE,2025-12-11,Din. Zagreb,Betis,1,3
UEL_2025_2026_LEAGUE_PHASE_4DA884F4,UEL,2025/2026,LEAGUE_PHASE,2025-12-11,Ferencvaros,Rangers,2,1
UEL_2025_2026_LEAGUE_PHASE_EC4728CD,UEL,2025/2026,LEAGUE_PHASE,2025-12-11,Ludogorets,PAOK,3,3
UEL_2025_2026_LEAGUE_PHASE_703DD57A,UEL,2025/2026,LEAGUE_PHASE,2025-12-11,Midtjylland,Genk,1,0
UEL_2025_2026_LEAGUE_PHASE_A27B913A,UEL,2025/2026,LEAGUE_PHASE,2025-12-11,Nice,Braga,0,1
UEL_2025_2026_LEAGUE_PHASE_C227CF3C,UEL,2025/2026,LEAGUE_PHASE,2025-12-11,Sturm Graz,Crvena zvezda,0,1
UEL_2025_2026_LEAGUE_PHASE_4F65B9C2,UEL,2025/2026,LEAGUE_PHASE,2025-12-11,Stuttgart,Maccabi Tel Aviv,4,1
UEL_2025_2026_LEAGUE_PHASE_F7731434,UEL,2025/2026,LEAGUE_PHASE,2025-12-11,Utrecht,Nottingham,1,2
UEL_2025_2026_LEAGUE_PHASE_BB253E20,UEL,2025/2026,LEAGUE_PHASE,2025-12-11,Young Boys,Lille,1,0
UEL_2025_2026_LEAGUE_PHASE_517FAB58,UEL,2025/2026,LEAGUE_PHASE,2025-11-27,Betis,Utrecht,2,1
UEL_2025_2026_LEAGUE_PHASE_0CBD7F4D,UEL,2025/2026,LEAGUE_PHASE,2025-11-27,Bologna,Salzburg,4,1
UEL_2025_2026_LEAGUE_PHASE_A265FE27,UEL,2025/2026,LEAGUE_PHASE,2025-11-27,Crvena zvezda,FCSB,1,0
UEL_2025_2026_LEAGUE_PHASE_4410CF97,UEL,2025/2026,LEAGUE_PHASE,2025-11-27,G.A. Eagles,Stuttgart,0,4
UEL_2025_2026_LEAGUE_PHASE_D98FEA46,UEL,2025/2026,LEAGUE_PHASE,2025-11-27,Genk,Basel,2,1
UEL_2025_2026_LEAGUE_PHASE_1E11A47E,UEL,2025/2026,LEAGUE_PHASE,2025-11-27,Maccabi Tel Aviv,Lyon,0,6
UEL_2025_2026_LEAGUE_PHASE_42114B5C,UEL,2025/2026,LEAGUE_PHASE,2025-11-27,Nottingham,Malmo FF,3,0
UEL_2025_2026_LEAGUE_PHASE_9AC876C8,UEL,2025/2026,LEAGUE_PHASE,2025-11-27,Panathinaikos,Sturm Graz,2,1
UEL_2025_2026_LEAGUE_PHASE_729CB2BF,UEL,2025/2026,LEAGUE_PHASE,2025-11-27,Rangers,Braga,1,1
UEL_2025_2026_LEAGUE_PHASE_28EBD253,UEL,2025/2026,LEAGUE_PHASE,2025-11-27,AS Roma,Midtjylland,2,1
UEL_2025_2026_LEAGUE_PHASE_6D9C821C,UEL,2025/2026,LEAGUE_PHASE,2025-11-27,Aston Villa,Young Boys,2,1
UEL_2025_2026_LEAGUE_PHASE_CE5548D2,UEL,2025/2026,LEAGUE_PHASE,2025-11-27,FC Porto,Nice,3,0
UEL_2025_2026_LEAGUE_PHASE_EE7D128A,UEL,2025/2026,LEAGUE_PHASE,2025-11-27,Fenerbahce,Ferencvaros,1,1
UEL_2025_2026_LEAGUE_PHASE_E06A5DBE,UEL,2025/2026,LEAGUE_PHASE,2025-11-27,Feyenoord,Celtic,1,3
UEL_2025_2026_LEAGUE_PHASE_849B4219,UEL,2025/2026,LEAGUE_PHASE,2025-11-27,Lille,Din. Zagreb,4,0
UEL_2025_2026_LEAGUE_PHASE_244F2021,UEL,2025/2026,LEAGUE_PHASE,2025-11-27,Ludogorets,Celta Vigo,3,2
UEL_2025_2026_LEAGUE_PHASE_E762130E,UEL,2025/2026,LEAGUE_PHASE,2025-11-27,PAOK,Brann,1,1
UEL_2025_2026_LEAGUE_PHASE_99A5F0D3,UEL,2025/2026,LEAGUE_PHASE,2025-11-27,Plzen,Freiburg,0,0
UEL_2025_2026_LEAGUE_PHASE_AA2767C5,UEL,2025/2026,LEAGUE_PHASE,2025-11-06,Aston Villa,Maccabi Tel Aviv,2,0
UEL_2025_2026_LEAGUE_PHASE_11C52792,UEL,2025/2026,LEAGUE_PHASE,2025-11-06,Betis,Lyon,2,0
UEL_2025_2026_LEAGUE_PHASE_D77DBAB5,UEL,2025/2026,LEAGUE_PHASE,2025-11-06,Bologna,Brann,0,0
UEL_2025_2026_LEAGUE_PHASE_61FCC809,UEL,2025/2026,LEAGUE_PHASE,2025-11-06,Braga,Genk,3,4
UEL_2025_2026_LEAGUE_PHASE_D00FFA72,UEL,2025/2026,LEAGUE_PHASE,2025-11-06,Ferencvaros,Ludogorets,3,1
UEL_2025_2026_LEAGUE_PHASE_9138C5AF,UEL,2025/2026,LEAGUE_PHASE,2025-11-06,PAOK,Young Boys,4,0
UEL_2025_2026_LEAGUE_PHASE_576FE5D7,UEL,2025/2026,LEAGUE_PHASE,2025-11-06,Plzen,Fenerbahce,0,0
UEL_2025_2026_LEAGUE_PHASE_33278E16,UEL,2025/2026,LEAGUE_PHASE,2025-11-06,Rangers,AS Roma,0,2
UEL_2025_2026_LEAGUE_PHASE_B3EB01DB,UEL,2025/2026,LEAGUE_PHASE,2025-11-06,Stuttgart,Feyenoord,2,0
UEL_2025_2026_LEAGUE_PHASE_4C5E1668,UEL,2025/2026,LEAGUE_PHASE,2025-11-06,Basel,FCSB,3,1
UEL_2025_2026_LEAGUE_PHASE_FBDA52E3,UEL,2025/2026,LEAGUE_PHASE,2025-11-06,Crvena zvezda,Lille,1,0
UEL_2025_2026_LEAGUE_PHASE_A6853A8D,UEL,2025/2026,LEAGUE_PHASE,2025-11-06,Din. Zagreb,Celta Vigo,0,3
UEL_2025_2026_LEAGUE_PHASE_8275B85C,UEL,2025/2026,LEAGUE_PHASE,2025-11-06,Malmo FF,Panathinaikos,0,1
UEL_2025_2026_LEAGUE_PHASE_E8C4F871,UEL,2025/2026,LEAGUE_PHASE,2025-11-06,Midtjylland,Celtic,3,1
UEL_2025_2026_LEAGUE_PHASE_5F2CF0E3,UEL,2025/2026,LEAGUE_PHASE,2025-11-06,Nice,Freiburg,1,3
UEL_2025_2026_LEAGUE_PHASE_1A359A33,UEL,2025/2026,LEAGUE_PHASE,2025-11-06,Salzburg,G.A. Eagles,2,0
UEL_2025_2026_LEAGUE_PHASE_B5F092B1,UEL,2025/2026,LEAGUE_PHASE,2025-11-06,Sturm Graz,Nottingham,0,0
UEL_2025_2026_LEAGUE_PHASE_368D79F5,UEL,2025/2026,LEAGUE_PHASE,2025-11-06,Utrecht,FC Porto,1,1
UEL_2025_2026_LEAGUE_PHASE_A9155912,UEL,2025/2026,LEAGUE_PHASE,2025-10-23,AS Roma,Plzen,1,2
UEL_2025_2026_LEAGUE_PHASE_0AD30384,UEL,2025/2026,LEAGUE_PHASE,2025-10-23,Celta Vigo,Nice,2,1
UEL_2025_2026_LEAGUE_PHASE_EE85986F,UEL,2025/2026,LEAGUE_PHASE,2025-10-23,Celtic,Sturm Graz,2,1
UEL_2025_2026_LEAGUE_PHASE_7739D260,UEL,2025/2026,LEAGUE_PHASE,2025-10-23,Feyenoord,Panathinaikos,3,1
UEL_2025_2026_LEAGUE_PHASE_54EF75BB,UEL,2025/2026,LEAGUE_PHASE,2025-10-23,Freiburg,Utrecht,2,0
UEL_2025_2026_LEAGUE_PHASE_321C1DA1,UEL,2025/2026,LEAGUE_PHASE,2025-10-23,Lille,PAOK,3,4
UEL_2025_2026_LEAGUE_PHASE_850E7C57,UEL,2025/2026,LEAGUE_PHASE,2025-10-23,Maccabi Tel Aviv,Midtjylland,0,3
UEL_2025_2026_LEAGUE_PHASE_733E3E32,UEL,2025/2026,LEAGUE_PHASE,2025-10-23,Malmo FF,Din. Zagreb,1,1
UEL_2025_2026_LEAGUE_PHASE_27B644DC,UEL,2025/2026,LEAGUE_PHASE,2025-10-23,Nottingham,FC Porto,2,0
UEL_2025_2026_LEAGUE_PHASE_E8DEFCA6,UEL,2025/2026,LEAGUE_PHASE,2025-10-23,Young Boys,Ludogorets,3,2
UEL_2025_2026_LEAGUE_PHASE_628454F0,UEL,2025/2026,LEAGUE_PHASE,2025-10-23,Braga,Crvena zvezda,2,0
UEL_2025_2026_LEAGUE_PHASE_08720684,UEL,2025/2026,LEAGUE_PHASE,2025-10-23,Brann,Rangers,3,0
UEL_2025_2026_LEAGUE_PHASE_AAAC5593,UEL,2025/2026,LEAGUE_PHASE,2025-10-23,FCSB,Bologna,1,2
UEL_2025_2026_LEAGUE_PHASE_6EEAA0B4,UEL,2025/2026,LEAGUE_PHASE,2025-10-23,Fenerbahce,Stuttgart,1,0
UEL_2025_2026_LEAGUE_PHASE_27A8819D,UEL,2025/2026,LEAGUE_PHASE,2025-10-23,G.A. Eagles,Aston Villa,2,1
UEL_2025_2026_LEAGUE_PHASE_33236C41,UEL,2025/2026,LEAGUE_PHASE,2025-10-23,Genk,Betis,0,0
UEL_2025_2026_LEAGUE_PHASE_1AD0A5B3,UEL,2025/2026,LEAGUE_PHASE,2025-10-23,Lyon,Basel,2,0
UEL_2025_2026_LEAGUE_PHASE_9D1EAFD3,UEL,2025/2026,LEAGUE_PHASE,2025-10-23,Salzburg,Ferencvaros,2,3
UEL_2025_2026_LEAGUE_PHASE_81A9FBFF,UEL,2025/2026,LEAGUE_PHASE,2025-10-02,Basel,Stuttgart,2,0
UEL_2025_2026_LEAGUE_PHASE_A275E3EE,UEL,2025/2026,LEAGUE_PHASE,2025-10-02,Celta Vigo,PAOK,3,1
UEL_2025_2026_LEAGUE_PHASE_82296CC8,UEL,2025/2026,LEAGUE_PHASE,2025-10-02,FC Porto,Crvena zvezda,2,1
UEL_2025_2026_LEAGUE_PHASE_D925724C,UEL,2025/2026,LEAGUE_PHASE,2025-10-02,Feyenoord,Aston Villa,0,2
UEL_2025_2026_LEAGUE_PHASE_AD32350F,UEL,2025/2026,LEAGUE_PHASE,2025-10-02,Genk,Ferencvaros,0,1
UEL_2025_2026_LEAGUE_PHASE_3C5D2F59,UEL,2025/2026,LEAGUE_PHASE,2025-10-02,Lyon,Salzburg,2,0
UEL_2025_2026_LEAGUE_PHASE_43FC7737,UEL,2025/2026,LEAGUE_PHASE,2025-10-02,Maccabi Tel Aviv,Din. Zagreb,1,3
UEL_2025_2026_LEAGUE_PHASE_9F2A0CBC,UEL,2025/2026,LEAGUE_PHASE,2025-10-02,Nottingham,Midtjylland,2,3
UEL_2025_2026_LEAGUE_PHASE_34BFDA59,UEL,2025/2026,LEAGUE_PHASE,2025-10-02,Sturm Graz,Rangers,2,1
UEL_2025_2026_LEAGUE_PHASE_6C987B99,UEL,2025/2026,LEAGUE_PHASE,2025-10-02,AS Roma,Lille,0,1
UEL_2025_2026_LEAGUE_PHASE_5CFB142D,UEL,2025/2026,LEAGUE_PHASE,2025-10-02,Bologna,Freiburg,1,1
UEL_2025_2026_LEAGUE_PHASE_003E436A,UEL,2025/2026,LEAGUE_PHASE,2025-10-02,Brann,Utrecht,1,0
UEL_2025_2026_LEAGUE_PHASE_1A0F3E7C,UEL,2025/2026,LEAGUE_PHASE,2025-10-02,Celtic,Braga,0,2
UEL_2025_2026_LEAGUE_PHASE_81425B2C,UEL,2025/2026,LEAGUE_PHASE,2025-10-02,FCSB,Young Boys,0,2
UEL_2025_2026_LEAGUE_PHASE_FB1E188A,UEL,2025/2026,LEAGUE_PHASE,2025-10-02,Fenerbahce,Nice,2,1
UEL_2025_2026_LEAGUE_PHASE_370E68EF,UEL,2025/2026,LEAGUE_PHASE,2025-10-02,Ludogorets,Betis,0,2
UEL_2025_2026_LEAGUE_PHASE_589825A1,UEL,2025/2026,LEAGUE_PHASE,2025-10-02,Panathinaikos,G.A. Eagles,1,2
UEL_2025_2026_LEAGUE_PHASE_4AE64EA7,UEL,2025/2026,LEAGUE_PHASE,2025-10-02,Plzen,Malmo FF,3,0
UEL_2025_2026_LEAGUE_PHASE_98A8A965,UEL,2025/2026,LEAGUE_PHASE,2025-09-25,Aston Villa,Bologna,1,0
UEL_2025_2026_LEAGUE_PHASE_32E24E97,UEL,2025/2026,LEAGUE_PHASE,2025-09-25,Ferencvaros,Plzen,1,1
UEL_2025_2026_LEAGUE_PHASE_FD805092,UEL,2025/2026,LEAGUE_PHASE,2025-09-25,Rangers,Genk,0,1
UEL_2025_2026_LEAGUE_PHASE_5ECFAED2,UEL,2025/2026,LEAGUE_PHASE,2025-09-25,Salzburg,FC Porto,0,1
UEL_2025_2026_LEAGUE_PHASE_8F31D91F,UEL,2025/2026,LEAGUE_PHASE,2025-09-25,Stuttgart,Celta Vigo,2,1
UEL_2025_2026_LEAGUE_PHASE_32BAF385,UEL,2025/2026,LEAGUE_PHASE,2025-09-25,Utrecht,Lyon,0,1
UEL_2025_2026_LEAGUE_PHASE_C64FAC2F,UEL,2025/2026,LEAGUE_PHASE,2025-09-25,Young Boys,Panathinaikos,1,4
UEL_2025_2026_LEAGUE_PHASE_85FAAB3F,UEL,2025/2026,LEAGUE_PHASE,2025-09-25,G.A. Eagles,FCSB,0,1
UEL_2025_2026_LEAGUE_PHASE_C6364449,UEL,2025/2026,LEAGUE_PHASE,2025-09-25,Lille,Brann,2,1
UEL_2025_2026_LEAGUE_PHASE_719F9623,UEL,2025/2026,LEAGUE_PHASE,2025-09-24,Betis,Nottingham,2,2
UEL_2025_2026_LEAGUE_PHASE_A4D89338,UEL,2025/2026,LEAGUE_PHASE,2025-09-24,Braga,Feyenoord,1,0
UEL_2025_2026_LEAGUE_PHASE_36F85046,UEL,2025/2026,LEAGUE_PHASE,2025-09-24,Crvena zvezda,Celtic,1,1
UEL_2025_2026_LEAGUE_PHASE_DB8AFFB5,UEL,2025/2026,LEAGUE_PHASE,2025-09-24,Din. Zagreb,Fenerbahce,3,1
UEL_2025_2026_LEAGUE_PHASE_9EFBE4E5,UEL,2025/2026,LEAGUE_PHASE,2025-09-24,Freiburg,Basel,2,1
UEL_2025_2026_LEAGUE_PHASE_B304789E,UEL,2025/2026,LEAGUE_PHASE,2025-09-24,Malmo FF,Ludogorets,1,2
UEL_2025_2026_LEAGUE_PHASE_04D5BF8E,UEL,2025/2026,LEAGUE_PHASE,2025-09-24,Nice,AS Roma,1,2
UEL_2025_2026_LEAGUE_PHASE_8E214B2D,UEL,2025/2026,LEAGUE_PHASE,2025-09-24,Midtjylland,Sturm Graz,2,0
UEL_2025_2026_LEAGUE_PHASE_2318006A,UEL,2025/2026,LEAGUE_PHASE,2025-09-24,PAOK,Maccabi Tel Aviv,0,0
